taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,ReservedFor
100034,Public,Block,NoCharger,44,933.2415800000001,Any
100034,Public,Block,NoCharger,1236,318.85754,Any
100034,Residential,Block,NoCharger,264,0.0,Any
100086,Public,Block,NoCharger,9,893.98761,Any
100086,Public,Block,NoCharger,350,203.38792,Any
100086,Public,Block,NoCharger,635,0.0,Any
100086,Residential,Block,NoCharger,124,0.0,Any
201372,Public,Block,NoCharger,1000000,0.0,Any
201372,Residential,Block,NoCharger,567,0.0,Any
201372,Workplace,Block,NoCharger,1000000,0.0,Any
100032,Public,Block,NoCharger,83,933.2415800000001,Any
100032,Public,Block,NoCharger,70,318.85754,Any
100032,Residential,Block,NoCharger,335,0.0,Any
201307,Public,Block,NoCharger,1000000,0.0,Any
201307,Residential,Block,NoCharger,205,0.0,Any
201307,Workplace,Block,NoCharger,1000000,0.0,Any
100563,Public,Block,NoCharger,252,117.0,Any
100563,Public,Block,NoCharger,481,34.0,Any
100563,Public,Block,NoCharger,20,0.0,Any
100563,Residential,Block,NoCharger,467,0.0,Any
100563,Workplace,Block,NoCharger,63,0.0,Any
100474,Residential,Block,NoCharger,294,0.0,Any
100471,Public,Block,NoCharger,109,0.0,Any
100471,Public,Block,NoCharger,107,0.0,Any
100471,Residential,Block,NoCharger,314,0.0,Any
10002P,Public,Block,NoCharger,26,314.01431,Any
10002P,Public,Block,NoCharger,925,191.0087,Any
10002P,Residential,Block,NoCharger,28,0.0,Any
100524,Public,Block,NoCharger,88,0.0,Any
100524,Public,Block,NoCharger,221,0.0,Any
100524,Residential,Block,NoCharger,248,0.0,Any
100102,Public,Block,NoCharger,354,532.0228900000001,Any
100102,Public,Block,NoCharger,2480,164.00706,Any
100102,Public,Block,NoCharger,26,0.0,Any
100102,Residential,Block,NoCharger,711,0.0,Any
201381,Public,Block,NoCharger,1000000,0.0,Any
201381,Residential,Block,NoCharger,466,0.0,Any
201381,Workplace,Block,NoCharger,1000000,0.0,Any
100517,Public,Block,NoCharger,75,0.0,Any
100517,Public,Block,NoCharger,145,0.0,Any
100517,Residential,Block,NoCharger,116,0.0,Any
10002N,Public,Block,NoCharger,41,314.01431,Any
10002N,Residential,Block,NoCharger,25,0.0,Any
10002M,Public,Block,NoCharger,14,314.01431,Any
10002M,Residential,Block,NoCharger,21,0.0,Any
100083,Public,Block,NoCharger,159,893.98761,Any
100083,Public,Block,NoCharger,410,203.38792,Any
100083,Public,Block,NoCharger,400,0.0,Any
100083,Residential,Block,NoCharger,117,0.0,Any
100083,Workplace,Block,NoCharger,18,0.0,Any
100419,Public,Block,NoCharger,1755,0.0,Any
100419,Residential,Block,NoCharger,41,0.0,Any
10002I,Public,Block,NoCharger,20,314.01431,Any
10002I,Residential,Block,NoCharger,11,0.0,Any
100031,Public,Block,NoCharger,225,933.2415800000001,Any
100031,Public,Block,NoCharger,934,318.85754,Any
100031,Residential,Block,NoCharger,1136,0.0,Any
201308,Public,Block,NoCharger,1000000,0.0,Any
201308,Residential,Block,NoCharger,504,0.0,Any
201308,Workplace,Block,NoCharger,1000000,0.0,Any
100435,Residential,Block,NoCharger,306,0.0,Any
100203,Public,Block,NoCharger,313,159.06387,Any
100203,Public,Block,NoCharger,100,116.23898,Any
100203,Public,Block,NoCharger,84,0.0,Any
100203,Residential,Block,NoCharger,1161,0.0,Any
100203,Workplace,Block,NoCharger,8,0.0,Any
10002O,Public,Block,NoCharger,8,314.01431,Any
10002O,Residential,Block,NoCharger,26,0.0,Any
100572,Public,Block,NoCharger,247,123.0,Any
100572,Public,Block,NoCharger,498,68.0,Any
100572,Public,Block,NoCharger,506,0.0,Any
100572,Residential,Block,NoCharger,494,0.0,Any
100572,Workplace,Block,NoCharger,70,0.0,Any
100434,Residential,Block,NoCharger,201,0.0,Any
201313,Public,Block,NoCharger,1000000,0.0,Any
201313,Residential,Block,NoCharger,144,0.0,Any
201313,Workplace,Block,NoCharger,1000000,0.0,Any
100521,Public,Block,NoCharger,42,0.0,Any
100521,Public,Block,NoCharger,230,0.0,Any
100521,Public,Block,NoCharger,11,0.0,Any
100521,Residential,Block,NoCharger,280,0.0,Any
100521,Workplace,Block,NoCharger,128,0.0,Any
100416,Residential,Block,NoCharger,460,0.0,Any
100075,Public,Block,NoCharger,85,259.0,Any
100075,Public,Block,NoCharger,60,116.0,Any
100075,Public,Block,NoCharger,110,0.0,Any
100075,Residential,Block,NoCharger,243,0.0,Any
