,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
54,400098,101,S,4,81,9066.0,16.49,418.713,37.589175,-122.359999,0.3,ML,4,Broadway rm-s-loop/diag,DT278,L4-S-35-101-01649,102296,430564,2015_01_10
55,400100,17,S,4,85,10340.0,12.39,24.943,37.295052,-121.938872,0.56,ML,3,Hamilton Ave rm-n-loop,DT755,l3-S-37-017-01239,998027,421197,2015_01_10
56,400101,24,W,4,13,54232.0,1.81,6.158,37.872945,-122.189548,0.585,ML,5,1200' W of Orinda exit,DT429,L5-W-28-024-00181,024132,427134,2015_01_10
57,400103,24,E,4,1,53000.0,2.89,1.043,37.839085,-122.26443,0.44,ML,4,Shattuck Ave / 55th St,DT069,L4-E-33-024-00289,124106,420276,2015_01_10
58,400104,237,E,4,85,68000.0,7.11,7.162,37.419313,-121.95548,0.665,ML,3,NORTH FIRST STREET,DT814,L3-E-37-237-00711,998233,420567,2015_01_10
59,400105,680,S,4,13,68378.0,4.35,35.758,37.77936,-121.976464,0.26,ML,4,Crow Canyon Rd on-n-diag,DT250,L4-S-28-680-00435,682218,424216,2015_01_10
60,400106,101,S,4,81,68252.0,14.93,417.153,37.586325,-122.332169,0.29,ML,5,oppo peninsula ave rm-n-diag,DT274,L5-S-35-101-01493,105296,430561,2015_01_10
61,400107,101,N,4,81,68252.0,11.72,413.907,37.551284,-122.294014,0.235,ML,4,oppo EB 92 rm-s-diag,DT264,L4-N-35-101-01172,101007,422296,2015_01_10
62,400108,17,N,4,85,,4.06,16.613,37.190197,-121.992771,3.025,ML,2,Bear Creek Rd rm-n-diag,DT012,L2-N-37-017-00406,998001,417365,2015_01_10
63,400109,101,S,4,85,68000.0,37.61,387.283,37.362706,-121.889426,0.785,ML,4,N 13th St/Oakland Rd rm-s-diag,DT027,L4-S-37-101-03761,998139,424540,2015_01_10
64,400110,680,S,4,13,57764.0,18.14,49.693,37.951643,-122.055554,0.59,ML,6,GREGORY LN OFF-S-DIAG,DT356,L6-S-28-680-01814,680291,423706,2015_01_10
65,400111,580,E,4,1,57792.0,18.85,34.882,37.70141,-121.888557,0.205,ML,5,HACIENDA DR,DT661,L5-E-33-580-01885,580152,423322,2015_01_10
66,400112,242,N,4,13,16000.0,2.81,3.069,37.998096,-122.038232,0.938,ML,4,Olivera St oc (Reitz Ct),DT177,L4-N-28-242-00281,242111,420662,2015_01_10
67,400113,80,W,4,13,60620.0,2.62,15.953,37.932553,-122.326013,0.46,ML,4,Barrett Ave rm-w-diag,DT463,L4-W-28-080-00262,080168,419694,2015_01_10
68,400115,238,S,4,1,,15.41,15.233,37.688688,-122.114306,0.34,ML,3,Kent St,DT144,L3-S-33-238-01541,238116,421137,2015_01_10
69,400116,101,S,4,81,,20.57,422.793,37.634035,-122.403213,0.25,ML,4,N Access Rd rm-s-fly,DT189,L4-S-35-101-02057,103312,419784,2015_01_10
70,400118,680,N,4,13,68378.0,4.41,35.783,37.780195,-121.976672,0.25,ML,4,Crow Canyon Rd on-n-diag,DT250,L4-N-28-680-00441,680233,418427,2015_01_10
71,400119,101,N,4,81,,18.58,420.767,37.608473,-122.389316,0.285,ML,4,3300' N of Milbrae ave OC,DT286,L4-N-35-101-01858,101335,422338,2015_01_10
72,400122,880,N,4,85,68000.0,4.21,4.21,37.36614,-121.901132,0.185,ML,3,NB 101,DT975,L3-N-37-880-00421,998317,421012,2015_01_10
73,400124,80,E,4,13,,12,25.333,38.037879,-122.248062,0.4,ML,4,600' W OF REFINERY RD UC,DT024,L4-E-28-080-01200,803215,418646,2015_01_10
74,400125,101,N,4,81,,19.37,421.557,37.617067,-122.398437,0.1,ML,6,1200' N of SFIA,DT289,L6-N-35-101-01937,103341,423594,2015_01_10
75,400126,80,W,4,1,6000.0,5.09,10.4,37.856366,-122.301014,0.29,ML,5,S Aquatic Park,DT319,L5-W-33-080-00491,997007,427274,2015_01_10
76,400127,84,E,4,1,26000.0,.89,30.95,37.516003,-122.106861,1.06,ML,3,800' E of Dumbarton East end,DT922,L3-E-33-084-00089,184105,418696,2015_01_10
77,400128,80,W,4,95,81666.0,1.75,29.222,38.084974,-122.233096,0.52,ML,3,oppo Magazine St  on-e-,DT056,L3-W-23-080-00175,080230,421457,2015_01_10
78,400132,85,N,4,85,68000.0,2.11,2.11,37.243208,-121.806387,1.515,ML,3,COTTLE RD ONAL,DT383,L3-N-37-085-00211,998039,420797,2015_01_10
79,400134,880,S,4,1,53000.0,24.75,34.977,37.731787,-122.188781,0.335,ML,4,98th Ave rm-s-loop,DT756,L4-S-33-880-02475,998459,421930,2015_01_10
80,400137,880,N,4,1,26000.0,8.83,19.057,37.54653,-122.022581,0.3,ML,4,THORNTON AVE,DTA07,L4-N-33-880-00883,998389,424684,2015_01_10
81,400138,101,S,4,85,,32.85,382.519,37.31631,-121.829714,0.9,ML,4,TULLY RD,DT680,L4-S-37-101-03285,998129,424516,2015_01_10
82,400141,880,N,4,1,26000.0,6.37,16.597,37.523522,-121.989607,0.455,ML,4,Stevenson Blvd rm-n-diag,DT999,L4-N-33-880-00637,998375,424666,2015_01_10
83,400143,101,S,4,41,,18.62,459.225,38.074388,-122.541483,0.26,ML,5,2200' N of Ignasio Blvd,DT564,L5-S-27-101-01862,101478,426609,2015_01_10
84,400145,85,N,4,85,68000.0,4.03,4.03,37.251693,-121.838501,0.67,ML,3,BLOSSOM HILL RD,DT418,L3-N-37-085-00403,998045,420807,2015_01_10
85,400146,880,S,4,1,,19.68,29.907,37.680405,-122.123301,0.295,ML,6,100' S OF PASEO GRANDE,DT399,L6-S-33-880-01968,884238,423746,2015_01_10
