trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum,in_Zone
6077173,18527,5589,759646,work,1,FALSE,1,Home,70,32,NA,17,DRIVEALONEFREE,-0.5430759225956313,TRUE
6076649,18527,5589,759581,othdiscr,1,TRUE,2,shopping,37,70,7.752471582618406,18,SHARED3FREE,-0.7516553336984529,TRUE
6076650,18527,5589,759581,othdiscr,2,TRUE,2,othdiscr,30,37,NA,19,SHARED3FREE,-0.3923058147613755,TRUE
6076653,18527,5589,759581,othdiscr,1,FALSE,1,Home,70,30,NA,20,SHARED3FREE,-1.0573665033880812,TRUE
6077497,18528,5589,759687,work,1,TRUE,2,escort,70,70,10.018979094000104,7,DRIVEALONEFREE,0.10577665409035969,TRUE
6077498,18528,5589,759687,work,2,TRUE,2,work,32,70,NA,7,DRIVEALONEFREE,-0.5868370613000539,TRUE
6077501,18528,5589,759687,work,1,FALSE,1,Home,70,32,NA,15,DRIVEALONEFREE,-0.5428602376831515,TRUE
6077545,18529,5589,759693,atwork,1,TRUE,1,atwork,46,25,NA,13,SHARED3FREE,2.9772707268212466,TRUE
6077825,18529,5589,759728,work,1,TRUE,1,work,25,70,NA,13,DRIVEALONEFREE,-1.0325590278384762,TRUE
6077549,18529,5589,759693,atwork,1,FALSE,1,Work,25,46,NA,14,SHARED3FREE,2.9772708074129683,TRUE
6077761,18529,5589,759720,univ,1,TRUE,1,univ,82,70,NA,17,WALK,-1.1327432240809048,TRUE
6077829,18529,5589,759728,work,1,FALSE,1,Home,70,25,NA,17,DRIVEALONEFREE,-1.1045632678146933,TRUE
6077765,18529,5589,759720,univ,1,FALSE,1,Home,70,82,NA,18,WALK,-1.1327432426281328,TRUE
6078153,18530,5589,759769,work,1,TRUE,2,social,70,70,8.800908208709968,20,DRIVEALONEFREE,0.10577665409035969,TRUE
6078154,18530,5589,759769,work,2,TRUE,2,work,25,70,NA,20,DRIVEALONEFREE,-1.0842548455913656,TRUE
6078157,18530,5589,759769,work,1,FALSE,4,shopping,83,25,7.998384609925026,21,DRIVEALONEFREE,-1.230105328948474,TRUE
6078158,18530,5589,759769,work,2,FALSE,4,social,89,83,10.385223863521537,21,WALK,-0.2369295816754689,TRUE
6078159,18530,5589,759769,work,3,FALSE,4,social,79,89,10.225623284428849,21,DRIVEALONEFREE,-0.1405305905798334,TRUE
6078160,18530,5589,759769,work,4,FALSE,4,Home,70,79,NA,21,DRIVEALONEFREE,-0.3673670049648707,TRUE
6078241,18531,5589,759780,escort,1,TRUE,1,escort,70,70,NA,9,SHARED2FREE,0.729001113162914,TRUE
6078245,18531,5589,759780,escort,1,FALSE,1,Home,70,70,NA,10,SHARED2FREE,0.729001113162914,TRUE
6078457,18531,5589,759807,social,1,TRUE,1,social,83,70,NA,15,SHARED3FREE,2.063164195374818,TRUE
6078461,18531,5589,759807,social,1,FALSE,2,othmaint,83,83,18.272574498677017,17,SHARED3FREE,2.2000161333348545,TRUE
6078462,18531,5589,759807,social,2,FALSE,2,Home,70,83,NA,18,SHARED3FREE,2.0631638792480165,TRUE
7347817,22401,6795,918477,social,1,TRUE,1,social,34,74,NA,7,TNC_SINGLE,0.4776415545700835,TRUE
7347821,22401,6795,918477,social,1,FALSE,1,Home,74,34,NA,22,TNC_SINGLE,0.5103795520559389,TRUE
8449265,25759,7800,1056158,work,1,TRUE,1,work,242,113,NA,6,DRIVEALONEFREE,-0.7240763561662494,TRUE
8449269,25759,7800,1056158,work,1,FALSE,1,Home,113,242,NA,16,DRIVEALONEFREE,-0.7256155395520704,TRUE
8449921,25761,7800,1056240,work,1,TRUE,1,work,189,113,NA,6,DRIVEALONEFREE,-0.5151945985506836,TRUE
8449925,25761,7800,1056240,work,1,FALSE,1,Home,113,189,NA,9,DRIVEALONEFREE,-0.5131603905500977,TRUE
8449857,25761,7800,1056232,univ,1,TRUE,1,univ,378,113,NA,11,SHARED2FREE,0.01539493600234817,TRUE
8449861,25761,7800,1056232,univ,1,FALSE,1,Home,113,378,NA,16,SHARED2FREE,-0.013385322635156167,TRUE
8450249,25762,7800,1056281,work,1,TRUE,1,work,25,113,NA,7,DRIVEALONEFREE,-0.4588275443051124,TRUE
8449969,25762,7800,1056246,atwork,1,TRUE,1,atwork,70,25,NA,11,DRIVEALONEFREE,-0.41092187551948617,TRUE
8449973,25762,7800,1056246,atwork,1,FALSE,1,Work,25,70,NA,13,DRIVEALONEFREE,-0.389545753027391,TRUE
8450253,25762,7800,1056281,work,1,FALSE,1,Home,113,25,NA,18,DRIVEALONEFREE,-0.4644063411321958,TRUE
8450513,25763,7800,1056314,school,1,TRUE,1,school,111,113,NA,7,SHARED2FREE,-1.4218357300637983,TRUE
8450337,25763,7800,1056292,escort,1,TRUE,1,escort,97,113,NA,18,SHARED3FREE,1.8728407883585385,TRUE
8450341,25763,7800,1056292,escort,1,FALSE,1,Home,113,97,NA,18,SHARED2FREE,1.8728432179885486,TRUE
8450517,25763,7800,1056314,school,1,FALSE,2,escort,111,111,4.4075367000651475,18,WALK,-1.357532642631545,TRUE
8450518,25763,7800,1056314,school,2,FALSE,2,Home,113,111,NA,18,SHARED2FREE,-1.4220824482725245,TRUE
8670665,26434,8001,1083833,work,1,TRUE,1,work,460,118,NA,6,DRIVEALONEFREE,-1.3627029490923224,TRUE
8670669,26434,8001,1083833,work,1,FALSE,2,work,366,460,8.898335162959516,15,DRIVEALONEFREE,-0.8592543287810236,TRUE
8670489,26434,8001,1083811,othmaint,1,TRUE,1,othmaint,69,118,NA,16,SHARED3FREE,-0.29843566376706526,TRUE
8670670,26434,8001,1083833,work,2,FALSE,2,Home,118,366,NA,16,DRIVEALONEFREE,-1.0645868403617924,TRUE
8670493,26434,8001,1083811,othmaint,1,FALSE,1,Home,118,69,NA,19,SHARED3FREE,-0.26319191423370303,TRUE
8670521,26434,8001,1083815,social,1,TRUE,1,social,337,118,NA,21,SHARED3FREE,-0.8205462634588456,TRUE
8670525,26434,8001,1083815,social,1,FALSE,1,Home,118,337,NA,23,SHARED3FREE,-0.7685912904101867,TRUE
8670753,26435,8001,1083844,escort,1,TRUE,1,escort,212,118,NA,9,SHARED3FREE,1.2458570996536982,TRUE
8670757,26435,8001,1083844,escort,1,FALSE,1,Home,118,212,NA,9,SHARED3FREE,1.247811970028891,TRUE
8670761,26435,8001,1083845,escort,1,TRUE,1,escort,349,118,NA,13,SHARED3FREE,0.9519854487622407,TRUE
8670765,26435,8001,1083845,escort,1,FALSE,1,Home,118,349,NA,14,SHARED3FREE,0.9688290053543626,TRUE
8671273,26436,8001,1083909,shopping,1,TRUE,2,escort,204,118,9.462017460709669,8,DRIVEALONEFREE,-0.8962174688081019,TRUE
8671274,26436,8001,1083909,shopping,2,TRUE,2,shopping,372,204,NA,10,TNC_SHARED,-0.6102338495561841,TRUE
8671277,26436,8001,1083909,shopping,1,FALSE,3,othdiscr,324,372,9.340643340660305,10,DRIVEALONEFREE,-0.12095365852925118,TRUE
8671278,26436,8001,1083909,shopping,2,FALSE,3,escort,327,324,9.634900482525646,12,DRIVEALONEFREE,0.2760030669697265,TRUE
8671279,26436,8001,1083909,shopping,3,FALSE,3,Home,118,327,NA,12,DRIVEALONEFREE,-1.1757169968368422,TRUE
9745521,29711,8990,1218190,work,1,TRUE,1,work,145,127,NA,8,DRIVEALONEFREE,-0.7911699175617504,TRUE
9745525,29711,8990,1218190,work,1,FALSE,2,othmaint,195,145,5.523623891051445,17,DRIVEALONEFREE,-1.5157327367330358,TRUE
